SIOP_orgao;cod_siop;nome_orgao;org_limpo;id_org_limpo
20114 - Advocacia-Geral da União;20114 - ;Advocacia-Geral da União;AGU - Advocacia Geral da União;27
63000 - Advocacia-Geral da União;63000 - ;Advocacia-Geral da União;AGU - Advocacia Geral da União;27
37000 - Controladoria-Geral da União;37000 - ;Controladoria-Geral da União;Controladoria Geral da União;176
66000 - Controladoria-Geral da União;66000 - ;Controladoria-Geral da União;Controladoria Geral da União;176
20102 - Gabinete da Vice-Presidência da República;20102 - ;Gabinete da Vice-Presidência da República;Vice-Presidência da República;658
60000 - Gabinete da Vice-Presidência da República;60000 - ;Gabinete da Vice-Presidência da República;Vice-Presidência da República;658
22000 - Ministério da Agricultura, Pecuária e Abastecimento;22000 - ;Ministério da Agricultura, Pecuária e Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421
55000 - Ministério da Cidadania;55000 - ;Ministério da Cidadania;Ministério do Desenvolvimento Social e Combate à Fome;438
24000 - Ministério da Ciência, Tecnologia e Inovações;24000 - ;Ministério da Ciência, Tecnologia e Inovações;Ministério da Ciência e Tecnologia;422
24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações;24000 - ;Ministério da Ciência, Tecnologia, Inovações e Comunicações;Ministério da Ciência e Tecnologia;422
42000 - Ministério da Cultura;42000 - ;Ministério da Cultura;Ministério da Cultura;423
52000 - Ministério da Defesa;52000 - ;Ministério da Defesa;Ministério da Defesa;424
25000 - Ministério da Economia;25000 - ;Ministério da Economia;Ministério da Economia;425
26000 - Ministério da Educação;26000 - ;Ministério da Educação;Ministério da Educação;426
28000 - Ministério da Indústria, Comércio Exterior e Serviços;28000 - ;Ministério da Indústria, Comércio Exterior e Serviços;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439
39000 - Ministério da Infraestrutura;39000 - ;Ministério da Infraestrutura;Ministério da Infra-Estrutura;700
30000 - Ministério da Justiça e Segurança Pública;30000 - ;Ministério da Justiça e Segurança Pública;Ministério da Justiça;429
81000 - Ministério da Mulher, da Família e dos Direitos Humanos;81000 - ;Ministério da Mulher, da Família e dos Direitos Humanos;Ministério da Mulher, da Família e dos Direitos Humanos;750
58000 - Ministério da Pesca e Aquicultura;58000 - ;Ministério da Pesca e Aquicultura;Ministério da Pesca e Aquicultura;430
33000 - Ministério da Previdência Social;33000 - ;Ministério da Previdência Social;Ministério da Previdência Social;431
36000 - Ministério da Saúde;36000 - ;Ministério da Saúde;Ministério da Saúde;432
82000 - Ministério da Segurança Pública;82000 - ;Ministério da Segurança Pública;Ministério da Segurança Pública;752
56000 - Ministério das Cidades;56000 - ;Ministério das Cidades;Ministério das Cidades;433
41000 - Ministério das Comunicações;41000 - ;Ministério das Comunicações;Ministério das Comunicações;434
57000 - Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;57000 - ;Ministério das Mulheres, da Igualdade Racial, da Juventude e dos Direitos Humanos;Ministério da Mulher, da Família e dos Direitos Humanos;750
35000 - Ministério das Relações Exteriores;35000 - ;Ministério das Relações Exteriores;Ministério das Relações Exteriores;435
32000 - Ministério de Minas e Energia;32000 - ;Ministério de Minas e Energia;Ministério de Minas e Energia;436
49000 - Ministério do Desenvolvimento Agrário;49000 - ;Ministério do Desenvolvimento Agrário;Ministério do Desenvolvimento Agrário;437
53000 - Ministério do Desenvolvimento Regional;53000 - ;Ministério do Desenvolvimento Regional;Ministério da Integração Nacional;428
51000 - Ministério do Esporte;51000 - ;Ministério do Esporte;Ministério do Esporte;440
44000 - Ministério do Meio Ambiente;44000 - ;Ministério do Meio Ambiente;Ministério do Meio Ambiente;442
47000 - Ministério do Planejamento, Desenvolvimento e Gestão;47000 - ;Ministério do Planejamento, Desenvolvimento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444
40000 - Ministério do Trabalho;40000 - ;Ministério do Trabalho;Ministério do Trabalho e Emprego;445
38000 - Ministério do Trabalho e Emprego;38000 - ;Ministério do Trabalho e Emprego;Ministério do Trabalho e Emprego;445
54000 - Ministério do Turismo;54000 - ;Ministério do Turismo;Ministério do Turismo;446
20000 - Presidência da República;20000 - ;Presidência da República;Presidência da República;523
69000 - Secretaria da Micro e Pequena Empresa;69000 - ;Secretaria da Micro e Pequena Empresa;Secretaria Especial da Micro e Pequena Empresa;751
61000 - Secretaria de Assuntos Estratégicos;61000 - ;Secretaria de Assuntos Estratégicos;Secretaria de Assuntos Estratégicos;551
62000 - Secretaria de Aviação Civil;62000 - ;Secretaria de Aviação Civil;Secretaria de Aviação Civil;552
64000 - Secretaria de Direitos Humanos;64000 - ;Secretaria de Direitos Humanos;Secretaria Especial de Direitos Humanos;561
67000 - Secretaria de Políticas de Promoção da Igualdade Racial;67000 - ;Secretaria de Políticas de Promoção da Igualdade Racial;Secretaria de Políticas de Promoção da Igualdade Racial;557
65000 - Secretaria de Políticas para as Mulheres;65000 - ;Secretaria de Políticas para as Mulheres;Secretaria Especial de Políticas para as Mulheres;562
68000 - Secretaria de Portos;68000 - ;Secretaria de Portos;Secretaria Nacional de Portos;564
