;org_sujo;org_detalhe_sujo;id_org_dupla;org_limpo;org_detalhe_limpo;id_org_unica
1;NA;NA;24;Sem informação;NA;565
2;MRE;DEMA-I;3290;Ministério das Relações Exteriores;NA;435
3;MRE;"Embaixada do Brasil em Tóquio; Setor de Política Externa";3291;Ministério das Relações Exteriores;NA;435
4;Serviço Florestal Brasileiro;Desenvolvimento Florestal;3292;SFB - Serviço Florestal Brasileiro;NA;572
5;Marinha do Brasil;NA;3058;Marinha do Brasil;NA;416
6;CNPq;NA;3008;CNPq - Conselho Nacional de Desenvolvimento Científico e Tecnológico;NA;142
7;Ministério da Marinha;Diretoria de Hidrografia e Navegação;3293;Ministério da Marinha;NA;701
8;Ministério da Marinha;"Diretoria de Hidrografia e Navegação; Departamento de Geofísica";3294;Ministério da Marinha;NA;701
9;Ministério da Marinha;Instituto de Pesquisas da Marinha;3295;Ministério da Marinha;NA;701
10;MRE;Missão Permanente do Brasil junto à UNESCO;3296;Ministério das Relações Exteriores;NA;435
11;MRE;NA;3271;Ministério das Relações Exteriores;NA;435
12;Ministério da Marinha;"Diretoria de Hidrografia e Navegação; Segundo vice da IOC";3297;Ministério da Marinha;NA;701
13;MRE;Embaixada do Brasil em Paris;3298;Ministério das Relações Exteriores;NA;435
14;MRE;Embaixada Brasileira na Dinamarca;3299;Ministério das Relações Exteriores;NA;435
15;Ministério da Marinha;"Diretoria de Hidrografia e Navegação; Divisão de Oceanografia";3300;Ministério da Marinha;NA;701
16;UFRGS;CECO - Centro de Estudos de Geologia Costeira e Oceânica;3301;Universidade Federal do Rio Grande do Sul;CECO - Centro de Estudos de Geologia Costeira e Oceânica;648
17;MRE;Divisão das Nações Unidas;3302;Ministério das Relações Exteriores;NA;435
18;USP;Instituto Oceanográfico;3303;Universidade de São Paulo;NA;617
19;Ministério da Marinha;Secretaria da Comissão Interministerial para os Recursos do Mar (CIRM);3304;Ministério da Marinha;NA;701
20;MRE;Divisão do Mar, da Antártida e do Espaço;3305;Ministério das Relações Exteriores;NA;435
21;MCT;NA;1726;Ministério da Ciência e Tecnologia;NA;422
22;Ministério da Marinha;"Diretoria de Hidrografia e Navegação; Departamento de Serviços Oceânicos";3306;Ministério da Marinha;NA;701
23;MCT;COAP - Coordenação Geral de Programas;3307;Ministério da Ciência e Tecnologia;NA;422
24;MCT;Secretaria de Coordenação de Programas;3308;Ministério da Ciência e Tecnologia;NA;422
25;Ministério da Marinha;"Diretoria de Hidrografia e Navegação; Hidrografia";3309;Ministério da Marinha;NA;701
26;Ministério da Marinha;"Diretoria de Hidrografia e Navegação; Assuntos Internacionais";3310;Ministério da Marinha;NA;701
27;MCT;Divisão de Ciências do Mar;3311;Ministério da Ciência e Tecnologia;NA;422
28;UFPR;Centro de Estudos do Mar;3312;Universidade Federal do Paraná;Centro de Estudos do Mar;645
29;Secretaria de Ciência e Tecnologia da Presidência;NA;2760;Secretaria de Ciência e Tecnologia da Presidência;NA;553
30;Ministério da Economia, Finança e Planejamento;Secretaria Nacional da Economia;3313;Ministério da Economia, Fazenda e Planejamento;Secretaria Nacional da Economia;699
31;MRE;"DEMA; Comissão Interministerial de Preparação para a Rio 92";3314;Ministério das Relações Exteriores;NA;435
32;MRE;Embaixada do Brasil em Washington;3315;Ministério das Relações Exteriores;NA;435
33;Secretaria de Meio Ambiente da Presidência;Assuntos Internacionais;3316;Secretaria de Meio Ambiente da Presidência;NA;555
34;INPE;Divisão de Observação da Terra;3317;INPE - Instituto Nacional de Pesquisas Espaciais;NA;352
35;MRE;DEMA;3273;Ministério das Relações Exteriores;NA;435
36;MRE;Missão Permanente em Genebra;3281;Ministério das Relações Exteriores;NA;435
37;MRE;Missão Permanente na ONU;3318;Ministério das Relações Exteriores;NA;435
38;Secretaria de Meio Ambiente da Presidência;NA;2846;Secretaria de Meio Ambiente da Presidência;NA;555
39;MRE;Missão Permanente do Brasil junto ao PNUMA, Quênia;3278;Ministério das Relações Exteriores;NA;435
40;Secretaria de Ciência e Tecnologia;NA;3319;Secretaria de Ciência e Tecnologia da Presidência;NA;553
41;MRE;Missão Permanente em Nova Iorque;3282;Ministério das Relações Exteriores;NA;435
42;Secretaria de Meio Ambiente;NA;3320;Secretaria de Meio Ambiente da Presidência;NA;555
43;MMA;NA;3260;Ministério do Meio Ambiente;NA;442
44;INPE;NA;3321;INPE - Instituto Nacional de Pesquisas Espaciais;NA;352
45;MRE;Missão Permanente do Brasil em Genebra;3322;Ministério das Relações Exteriores;NA;435
