"","conf","year","bra","total"
"1","UNFCCC COP 1",1995,7,503
"2","UNFCCC COP 2",1996,3,480
"3","UNFCCC COP 3",1997,13,592
"4","UNFCCC COP 4",1998,23,642
"5","UNFCCC COP 5",1999,14,610
"6","UNFCCC COP 6",2000,24,787
"7","UNFCCC COP 7",2001,12,549
"8","UNFCCC COP 8",2002,18,535
"9","UNFCCC COP 9",2003,11,713
"10","UNFCCC COP 10",2004,25,770
"11","UNFCCC COP 11",2005,11,553
"12","UNFCCC COP 12",2006,21,596
"13","UNFCCC COP 13",2007,8,595
"14","UNFCCC COP 14",2008,20,700
"15","UNFCCC COP 15",2009,32,1134
"16","UNFCCC COP 16",2010,17,848
"17","UNFCCC COP 17",2011,8,625
"18","UNFCCC COP 18",2012,9,684
"19","UNFCCC COP 19",2013,23,949
"20","UNFCCC COP 20",2014,61,1889
"21","UNFCCC COP 21",2015,7,757
"22","UNFCCC COP 22",2016,25,789
"23","UNFCCC COP 23",2017,16,494
"24","UNFCCC COP 24",2018,12,546
"25","UNFCCC COP 25",2019,7,463
"26","UNFCCC COP 26",2021,8,583
"27","UNFCCC COP 27",2022,13,582
